help_request_id;amount;reward_id
1;800;2
2;400;2
3;800;2
4;300;2
5;700;2
6;1000;2
7;1000;2
8;500;2
9;600;2
10;400;2
11;200;2
12;100;2
13;800;2
14;600;2
15;800;2
16;800;2
17;900;2
18;600;2
19;300;2
20;700;2
21;700;2
22;900;2
23;600;2
24;100;2
25;800;2
26;900;2
27;500;2
28;900;2
29;500;2
30;300;2
31;100;2
32;200;2
33;1000;2
34;100;2
35;700;2
36;600;2
37;400;2
38;100;2
39;100;2
40;1000;2
41;900;2
42;200;2
43;100;2
44;600;2
45;1000;2
46;300;2
47;700;2
48;300;2
49;700;2
50;500;2
51;300;2
52;200;2
53;500;2
54;200;2
55;900;2
56;300;2
57;100;2
58;400;2
59;100;2
60;700;2
61;900;2
62;100;2
63;500;2
64;200;2
65;1000;2
66;600;2
67;400;2
68;900;2
69;800;2
70;700;2
71;500;2
72;200;2
73;300;2
74;1000;2
75;700;2
76;100;2
77;400;2
78;500;2
79;100;2
80;100;2
81;1000;2
82;700;2
83;400;2
84;200;2
85;400;2
86;600;2
87;500;2
88;800;2
89;100;2
90;100;2
91;600;2
92;300;2
93;200;2
94;400;2
95;600;2
96;800;2
97;300;2
98;200;2
99;400;2
100;100;2
101;300;2
102;600;2
103;700;2
104;300;2
105;500;2
106;800;2
107;800;2
108;600;2
109;900;2
110;900;2
111;400;2
112;400;2
113;200;2
114;900;2
115;800;2
116;1000;2
117;400;2
118;600;2
119;700;2
120;400;2
121;800;2
122;600;2
123;300;2
124;900;2
125;100;2
126;1000;2
127;1000;2
128;100;2
129;300;2
130;500;2
131;500;2
132;1000;2
133;600;2
134;800;2
135;400;2
136;300;2
137;100;2
138;500;2
139;100;2
140;200;2
141;1000;2
142;800;2
143;700;2
144;700;2
145;900;2
146;200;2
147;1000;2
148;600;2
149;200;2
150;600;2
151;1000;2
152;300;2
153;100;2
154;400;2
155;700;2
156;900;2
157;100;2
158;1000;2
159;300;2
160;300;2
161;900;2
162;400;2
163;600;2
164;500;2
165;900;2
166;600;2
167;100;2
168;500;2
169;1000;2
170;100;2
171;100;2
172;500;2
173;200;2
174;700;2
175;1000;2
176;200;2
177;1000;2
178;300;2
179;700;2
180;100;2
181;1000;2
182;900;2
183;600;2
184;200;2
185;600;2
186;1000;2
187;700;2
188;500;2
189;500;2
190;200;2
191;800;2
192;700;2
193;700;2
194;900;2
195;1000;2
196;600;2
197;400;2
198;1000;2
199;200;2
200;200;2
201;400;2
202;900;2
203;300;2
204;400;2
205;1000;2
206;400;2
207;900;2
208;300;2
209;100;2
210;400;2
211;700;2
212;200;2
213;100;2
214;800;2
215;300;2
216;500;2
217;400;2
218;200;2
219;600;2
220;100;2
221;200;2
222;700;2
223;400;2
224;300;2
225;700;2
226;300;2
227;600;2
228;800;2
229;700;2
230;100;2
231;300;2
232;800;2
233;200;2
234;700;2
235;500;2
236;600;2
237;400;2
238;400;2
239;700;2
240;500;2
241;300;2
242;800;2
243;700;2
244;600;2
245;800;2
246;100;2
247;1000;2
248;500;2
249;500;2
250;700;2
251;300;2
252;1000;2
253;100;2
254;1000;2
255;300;2
256;500;2
257;900;2
258;400;2
259;400;2
260;800;2
261;400;2
262;1000;2
263;100;2
264;100;2
265;400;2
266;200;2
267;800;2
268;1000;2
269;800;2
270;600;2
271;900;2
272;100;2
273;1000;2
274;1000;2
275;500;2
276;500;2
277;700;2
278;100;2
279;700;2
280;500;2
281;200;2
282;300;2
283;200;2
284;900;2
285;800;2
286;1000;2
287;800;2
288;600;2
289;700;2
290;600;2
291;300;2
292;1000;2
293;300;2
294;200;2
295;700;2
296;400;2
297;700;2
298;300;2
299;800;2
300;900;2
301;400;2
302;600;2
303;700;2
304;300;2
305;700;2
306;400;2
307;500;2
308;800;2
309;1000;2
310;100;2
311;100;2
312;700;2
313;900;2
314;800;2
315;600;2
316;700;2
317;700;2
318;100;2
319;900;2
320;100;2
321;1000;2
322;400;2
323;600;2
324;400;2
325;900;2
326;500;2
327;900;2
328;400;2
329;1000;2
330;900;2
331;700;2
332;100;2
333;100;2
334;100;2
335;700;2
336;800;2
337;100;2
338;400;2
339;800;2
340;400;2
341;900;2
342;200;2
343;400;2
344;900;2
345;500;2
346;1000;2
347;600;2
348;300;2
349;600;2
350;500;2
351;400;2
352;800;2
353;500;2
354;900;2
355;800;2
356;800;2
357;300;2
358;500;2
359;1000;2
360;500;2
361;500;2
362;900;2
363;500;2
364;600;2
365;800;2
366;900;2
367;700;2
368;400;2
369;400;2
370;700;2
371;300;2
372;800;2
373;500;2
374;500;2
375;300;2
376;600;2
377;1000;2
378;1000;2
379;700;2
380;700;2
381;800;2
382;100;2
383;200;2
384;700;2
385;1000;2
386;1000;2
387;400;2
388;100;2
389;400;2
390;800;2
391;900;2
392;1000;2
393;300;2
394;500;2
395;500;2
396;100;2
397;700;2
398;200;2
399;200;2
400;100;2
401;1000;2
402;100;2
403;300;2
404;200;2
405;400;2
406;900;2
407;1000;2
408;400;2
409;800;2
410;700;2
411;800;2
412;200;2
413;600;2
414;600;2
415;300;2
416;200;2
417;300;2
418;300;2
419;300;2
420;100;2
421;800;2
422;400;2
423;200;2
424;500;2
425;300;2
426;400;2
427;100;2
428;900;2
429;700;2
430;1000;2
431;700;2
432;800;2
433;400;2
434;300;2
435;400;2
436;400;2
437;1000;2
438;800;2
439;400;2
440;800;2
441;1000;2
442;600;2
443;1000;2
444;400;2
445;1000;2
446;400;2
447;200;2
448;700;2
449;200;2
450;100;2
451;700;2
452;800;2
453;700;2
454;800;2
455;800;2
456;500;2
457;1000;2
458;700;2
459;200;2
460;300;2
461;600;2
462;400;2
463;100;2
464;400;2
465;500;2
466;200;2
467;100;2
468;100;2
469;600;2
470;100;2
471;400;2
472;600;2
473;900;2
474;600;2
475;300;2
476;800;2
477;400;2
478;800;2
479;100;2
480;600;2
481;700;2
482;200;2
483;1000;2
484;700;2
485;700;2
486;200;2
487;200;2
488;300;2
489;800;2
490;1000;2
491;400;2
492;800;2
493;900;2
494;400;2
495;800;2
496;500;2
497;800;2
498;600;2
499;600;2
500;400;2
501;100;2
502;300;2
503;100;2
504;900;2
505;400;2
506;200;2
507;700;2
508;1000;2
509;400;2
510;1000;2
511;300;2
512;600;2
513;1000;2
514;1000;2
515;500;2
516;900;2
517;600;2
518;900;2
519;600;2
520;200;2
521;300;2
522;500;2
523;700;2
524;300;2
525;300;2
526;900;2
527;300;2
528;800;2
529;100;2
530;700;2
531;100;2
532;400;2
533;500;2
534;700;2
535;200;2
536;500;2
537;100;2
538;800;2
539;900;2
540;200;2
541;1000;2
542;300;2
543;1000;2
544;300;2
545;200;2
546;200;2
547;900;2
548;800;2
549;1000;2
550;100;2
551;700;2
552;1000;2
553;300;2
554;600;2
555;600;2
556;800;2
557;800;2
558;900;2
559;500;2
560;200;2
561;1000;2
562;300;2
563;1000;2
564;100;2
565;200;2
566;700;2
567;800;2
568;400;2
569;500;2
570;800;2
571;900;2
572;800;2
573;900;2
574;100;2
575;100;2
576;400;2
577;100;2
578;900;2
579;200;2
580;800;2
581;1000;2
582;600;2
583;900;2
584;600;2
585;900;2
586;1000;2
587;100;2
588;700;2
589;600;2
590;100;2
591;900;2
592;900;2
593;900;2
594;400;2
595;800;2
596;100;2
597;200;2
598;400;2
599;500;2
600;800;2
601;1000;2
602;300;2
603;400;2
604;800;2
605;100;2
606;400;2
607;400;2
608;600;2
609;100;2
610;200;2
611;900;2
612;200;2
613;200;2
614;1000;2
615;800;2
616;700;2
617;200;2
618;400;2
619;1000;2
620;400;2
621;400;2
622;400;2
623;800;2
624;100;2
625;1000;2
626;500;2
627;900;2
628;100;2
629;200;2
630;600;2
631;1000;2
632;200;2
633;800;2
634;1000;2
635;100;2
636;500;2
637;500;2
638;200;2
639;600;2
640;600;2
641;600;2
642;700;2
643;600;2
644;100;2
645;800;2
646;300;2
647;800;2
648;1000;2
649;800;2
650;600;2
651;200;2
652;200;2
653;600;2
654;800;2
655;600;2
656;500;2
657;300;2
658;100;2
659;900;2
660;800;2
661;700;2
662;400;2
663;400;2
664;200;2
665;400;2
666;100;2
667;1000;2
668;500;2
669;300;2
670;300;2
671;200;2
672;1000;2
673;1000;2
674;100;2
675;300;2
676;500;2
677;700;2
678;900;2
679;200;2
680;100;2
681;400;2
682;1000;2
683;300;2
684;600;2
685;100;2
686;900;2
687;300;2
688;300;2
689;1000;2
690;400;2
691;800;2
692;600;2
693;400;2
694;700;2
695;300;2
696;1000;2
697;800;2
698;800;2
699;500;2
700;700;2
701;800;2
702;600;2
703;100;2
704;800;2
705;800;2
706;700;2
707;200;2
708;1000;2
709;100;2
710;100;2
711;500;2
712;900;2
713;200;2
714;600;2
715;1000;2
716;800;2
717;500;2
718;500;2
719;200;2
720;100;2
721;900;2
722;200;2
723;500;2
724;900;2
725;300;2
726;300;2
727;400;2
728;800;2
729;400;2
730;1000;2
731;500;2
732;400;2
733;100;2
734;500;2
735;700;2
736;1000;2
737;600;2
738;900;2
739;700;2
740;500;2
741;100;2
742;500;2
743;300;2
744;300;2
745;1000;2
746;200;2
747;600;2
748;100;2
749;800;2
750;100;2
751;300;2
752;300;2
753;300;2
754;400;2
755;900;2
756;300;2
757;200;2
758;800;2
759;400;2
760;600;2
761;600;2
762;100;2
763;700;2
764;1000;2
765;900;2
766;700;2
767;1000;2
768;400;2
769;300;2
770;400;2
771;900;2
772;1000;2
773;300;2
774;400;2
775;900;2
776;900;2
777;300;2
778;300;2
779;1000;2
780;100;2
781;500;2
782;300;2
783;800;2
784;900;2
785;800;2
786;800;2
787;800;2
788;1000;2
789;500;2
790;300;2
791;200;2
792;200;2
793;300;2
794;800;2
795;1000;2
796;700;2
797;100;2
798;900;2
799;800;2
800;600;2
801;200;2
802;800;2
803;800;2
804;400;2
805;700;2
806;200;2
807;900;2
808;300;2
809;500;2
810;900;2
811;500;2
812;500;2
813;400;2
814;700;2
815;600;2
816;200;2
817;100;2
818;900;2
819;900;2
820;600;2
821;200;2
822;1000;2
823;100;2
824;200;2
825;1000;2
826;800;2
827;100;2
828;900;2
829;100;2
830;200;2
831;700;2
832;400;2
833;100;2
834;200;2
835;300;2
836;500;2
837;200;2
838;300;2
839;300;2
840;400;2
841;500;2
842;800;2
843;400;2
844;100;2
845;400;2
846;600;2
847;700;2
848;800;2
849;500;2
850;900;2
851;700;2
852;200;2
853;300;2
854;200;2
855;700;2
856;1000;2
857;100;2
858;400;2
859;700;2
860;800;2
861;800;2
862;300;2
863;900;2
864;900;2
865;800;2
866;600;2
867;700;2
868;200;2
869;300;2
870;400;2
871;100;2
872;200;2
873;300;2
874;100;2
875;900;2
876;100;2
877;100;2
878;600;2
879;700;2
880;100;2
881;500;2
882;200;2
883;300;2
884;900;2
885;600;2
886;600;2
887;1000;2
888;900;2
889;1000;2
890;1000;2
891;800;2
892;600;2
893;200;2
894;900;2
895;600;2
896;900;2
897;200;2
898;700;2
899;800;2
900;900;2
901;800;2
902;700;2
903;1000;2
904;200;2
905;700;2
906;900;2
907;900;2
908;100;2
909;300;2
910;900;2
911;600;2
912;900;2
913;700;2
914;100;2
915;100;2
916;1000;2
917;1000;2
918;400;2
919;200;2
920;100;2
921;300;2
922;800;2
923;900;2
924;100;2
925;800;2
926;200;2
927;300;2
928;600;2
929;200;2
930;900;2
931;1000;2
932;200;2
933;800;2
934;800;2
935;900;2
936;1000;2
937;300;2
938;700;2
939;400;2
940;600;2
941;700;2
942;700;2
943;300;2
944;600;2
945;900;2
946;900;2
947;500;2
948;500;2
949;1000;2
950;800;2
951;100;2
952;300;2
953;900;2
954;400;2
955;500;2
956;100;2
957;500;2
958;300;2
959;900;2
960;700;2
961;100;2
962;800;2
963;400;2
964;400;2
965;600;2
966;400;2
967;300;2
968;500;2
969;900;2
970;900;2
971;200;2
972;800;2
973;800;2
974;800;2
975;700;2
976;300;2
977;400;2
978;1000;2
979;400;2
980;200;2
981;400;2
982;900;2
983;800;2
984;200;2
985;400;2
986;200;2
987;1000;2
988;800;2
989;100;2
990;100;2
991;800;2
992;200;2
993;500;2
994;500;2
995;1000;2
996;700;2
997;200;2
998;300;2
999;100;2
1000;800;2
1001;300;2
1002;500;2
1003;1000;2
1004;800;2
1005;400;2
1006;400;2
1007;700;2
1008;500;2
1009;800;2
1010;500;2
1011;1000;2
1012;800;2
1013;700;2
1014;700;2
1015;900;2
1016;800;2
1017;600;2
1018;700;2
1019;900;2
1020;800;2
1021;300;2
1022;500;2
1023;500;2
1024;300;2
1025;400;2
1026;200;2
1027;300;2
1028;400;2
1029;500;2
1030;800;2
1031;1000;2
1032;200;2
1033;100;2
1034;400;2
1035;300;2
1036;300;2
1037;500;2
1038;400;2
1039;1000;2
1040;200;2
1041;400;2
1042;500;2
1043;900;2
1044;100;2
1045;300;2
1046;300;2
1047;1000;2
1048;200;2
1049;700;2
1050;200;2
1051;500;2
1052;500;2
1053;600;2
1054;800;2
1055;800;2
1056;200;2
1057;900;2
1058;100;2
1059;700;2
1060;800;2
1061;1000;2
1062;700;2
1063;1000;2
1064;400;2
1065;100;2
1066;300;2
1067;100;2
1068;300;2
1069;900;2
1070;600;2
1071;400;2
1072;500;2
1073;400;2
1074;900;2
1075;1000;2
