help_request_id;amount;reward_id
1;50;3
2;180;3
3;220;3
4;140;3
5;180;3
6;180;3
7;230;3
8;110;3
9;80;3
10;250;3
11;160;3
12;150;3
13;40;3
14;220;3
15;230;3
16;50;3
17;70;3
18;60;3
19;60;3
20;160;3
21;70;3
22;160;3
23;250;3
24;210;3
25;110;3
26;80;3
27;110;3
28;170;3
29;160;3
30;230;3
31;50;3
32;240;3
33;140;3
34;120;3
35;180;3
36;200;3
37;130;3
38;180;3
39;120;3
40;40;3
41;60;3
42;200;3
43;240;3
44;40;3
45;210;3
46;180;3
47;100;3
48;250;3
49;170;3
50;190;3
51;90;3
52;150;3
53;110;3
54;60;3
55;40;3
56;80;3
57;50;3
58;90;3
59;160;3
60;90;3
61;60;3
62;230;3
63;220;3
64;250;3
65;230;3
66;130;3
67;190;3
68;200;3
69;100;3
70;50;3
71;110;3
72;60;3
73;50;3
74;130;3
75;240;3
76;60;3
77;80;3
78;100;3
79;250;3
80;210;3
81;120;3
82;110;3
83;220;3
84;50;3
85;170;3
86;210;3
87;220;3
88;50;3
89;90;3
90;40;3
91;150;3
92;210;3
93;130;3
94;150;3
95;220;3
96;170;3
97;170;3
98;240;3
99;210;3
100;210;3
101;220;3
102;240;3
103;160;3
104;40;3
105;100;3
106;220;3
107;70;3
108;230;3
109;160;3
110;140;3
111;60;3
112;120;3
113;100;3
114;40;3
115;80;3
116;230;3
117;170;3
118;40;3
119;120;3
120;160;3
121;190;3
122;190;3
123;220;3
124;100;3
125;60;3
126;190;3
127;250;3
128;120;3
129;170;3
130;180;3
131;180;3
132;40;3
133;70;3
134;220;3
135;170;3
136;50;3
137;230;3
138;220;3
139;50;3
140;170;3
141;210;3
142;110;3
143;250;3
144;120;3
145;60;3
146;250;3
147;230;3
148;50;3
149;180;3
150;160;3
151;240;3
152;110;3
153;160;3
154;200;3
155;110;3
156;110;3
157;120;3
158;50;3
159;160;3
160;170;3
161;150;3
162;210;3
163;250;3
164;190;3
165;170;3
166;190;3
167;130;3
168;240;3
169;70;3
170;210;3
171;140;3
172;180;3
173;50;3
174;60;3
175;250;3
176;70;3
177;80;3
178;110;3
179;90;3
180;150;3
181;120;3
182;230;3
183;80;3
184;80;3
185;190;3
186;160;3
187;110;3
188;100;3
189;40;3
190;130;3
191;160;3
192;90;3
193;210;3
194;160;3
195;90;3
196;200;3
197;250;3
198;80;3
199;170;3
200;60;3
201;210;3
202;230;3
203;150;3
204;120;3
205;100;3
206;140;3
207;150;3
208;100;3
209;220;3
210;130;3
211;60;3
212;120;3
213;220;3
214;190;3
215;80;3
216;50;3
217;240;3
218;160;3
219;140;3
220;190;3
221;190;3
222;120;3
223;230;3
224;180;3
225;200;3
226;170;3
227;190;3
228;60;3
229;240;3
230;250;3
231;250;3
232;220;3
233;250;3
234;40;3
235;110;3
236;180;3
237;120;3
238;170;3
239;210;3
240;60;3
241;90;3
242;160;3
243;130;3
244;50;3
245;130;3
246;50;3
247;130;3
248;130;3
249;220;3
250;220;3
251;50;3
252;150;3
253;80;3
254;170;3
255;100;3
256;40;3
257;150;3
258;100;3
259;250;3
260;170;3
261;160;3
262;150;3
263;60;3
264;110;3
265;80;3
266;220;3
267;200;3
268;130;3
269;240;3
270;220;3
271;90;3
272;220;3
273;210;3
274;250;3
275;200;3
276;110;3
277;220;3
278;70;3
279;210;3
280;180;3
281;230;3
282;230;3
283;100;3
284;200;3
285;180;3
286;150;3
287;150;3
288;100;3
289;240;3
290;60;3
291;190;3
292;170;3
293;80;3
294;230;3
295;220;3
296;180;3
297;80;3
298;150;3
299;210;3
300;100;3
301;150;3
302;50;3
303;200;3
304;40;3
305;180;3
306;100;3
307;240;3
308;180;3
309;130;3
310;180;3
311;250;3
312;190;3
313;100;3
314;120;3
315;210;3
316;50;3
317;220;3
318;240;3
319;80;3
320;50;3
321;170;3
322;140;3
323;160;3
324;70;3
325;190;3
326;240;3
327;80;3
328;120;3
329;160;3
330;140;3
331;60;3
332;40;3
333;70;3
334;90;3
335;100;3
336;100;3
337;240;3
338;190;3
339;100;3
340;140;3
341;100;3
342;80;3
343;130;3
344;190;3
345;140;3
346;40;3
347;200;3
348;170;3
349;120;3
350;180;3
351;210;3
352;210;3
353;210;3
354;200;3
355;220;3
356;150;3
357;170;3
358;60;3
359;60;3
360;230;3
361;220;3
362;190;3
363;220;3
364;50;3
365;110;3
366;60;3
367;170;3
368;250;3
369;200;3
370;130;3
371;120;3
372;140;3
373;250;3
374;80;3
375;180;3
376;100;3
377;40;3
378;190;3
379;240;3
380;80;3
381;140;3
382;70;3
383;100;3
384;190;3
385;80;3
386;100;3
387;250;3
388;200;3
389;160;3
390;170;3
391;150;3
392;160;3
393;200;3
394;60;3
395;40;3
396;220;3
397;160;3
398;40;3
399;50;3
400;140;3
401;210;3
402;70;3
403;200;3
404;110;3
405;230;3
406;110;3
407;160;3
408;240;3
409;170;3
410;60;3
411;90;3
412;230;3
413;110;3
414;110;3
415;100;3
416;110;3
417;140;3
418;60;3
419;180;3
420;210;3
421;40;3
422;220;3
423;80;3
424;100;3
425;70;3
426;210;3
427;170;3
428;100;3
429;130;3
430;70;3
431;210;3
432;160;3
433;90;3
434;190;3
435;120;3
436;190;3
437;80;3
438;130;3
439;50;3
440;80;3
441;80;3
442;90;3
443;210;3
444;50;3
445;70;3
446;160;3
447;90;3
448;190;3
449;160;3
450;140;3
451;160;3
452;170;3
453;70;3
454;170;3
455;160;3
456;250;3
457;60;3
458;90;3
459;240;3
460;110;3
461;50;3
462;190;3
463;230;3
464;250;3
465;100;3
466;110;3
467;210;3
468;220;3
469;180;3
470;160;3
471;200;3
472;90;3
473;180;3
474;60;3
475;140;3
476;150;3
477;100;3
478;110;3
479;70;3
480;170;3
481;180;3
482;90;3
483;240;3
484;240;3
485;210;3
486;70;3
487;160;3
488;160;3
489;140;3
490;220;3
491;70;3
492;160;3
493;150;3
494;170;3
495;90;3
496;220;3
497;180;3
498;210;3
499;100;3
500;130;3
501;230;3
502;150;3
503;50;3
504;160;3
505;170;3
506;230;3
507;200;3
508;150;3
509;70;3
510;60;3
511;50;3
512;240;3
513;250;3
514;100;3
515;240;3
516;160;3
517;230;3
518;190;3
519;150;3
520;180;3
521;250;3
522;120;3
523;190;3
524;220;3
525;70;3
526;250;3
527;240;3
528;70;3
529;60;3
530;130;3
531;90;3
532;120;3
533;130;3
534;50;3
535;250;3
536;150;3
537;250;3
538;120;3
539;240;3
540;190;3
541;140;3
542;150;3
543;210;3
544;40;3
545;250;3
546;80;3
547;60;3
548;60;3
549;140;3
550;140;3
551;170;3
552;170;3
553;40;3
554;60;3
555;40;3
556;190;3
557;250;3
558;190;3
559;130;3
560;40;3
561;70;3
562;60;3
563;130;3
564;90;3
565;180;3
566;70;3
567;240;3
568;200;3
569;60;3
570;90;3
571;50;3
572;80;3
573;50;3
574;180;3
575;170;3
576;60;3
577;90;3
578;100;3
579;110;3
580;90;3
581;190;3
582;110;3
583;180;3
584;90;3
585;110;3
586;130;3
587;90;3
588;80;3
589;150;3
590;180;3
591;220;3
592;180;3
593;200;3
594;240;3
595;90;3
596;70;3
597;250;3
598;40;3
599;250;3
600;70;3
601;130;3
602;120;3
603;230;3
604;250;3
605;110;3
606;150;3
607;40;3
608;150;3
609;40;3
610;50;3
611;220;3
612;90;3
613;40;3
614;50;3
615;90;3
616;110;3
617;80;3
618;210;3
619;210;3
620;220;3
621;180;3
622;60;3
623;220;3
624;200;3
625;60;3
626;40;3
627;230;3
628;120;3
629;190;3
630;50;3
631;70;3
632;170;3
633;130;3
634;130;3
635;190;3
636;250;3
637;50;3
638;190;3
639;190;3
640;110;3
641;160;3
642;170;3
643;170;3
644;70;3
645;230;3
646;250;3
647;90;3
648;110;3
649;110;3
650;170;3
651;150;3
652;240;3
653;140;3
654;110;3
655;120;3
656;100;3
657;230;3
658;190;3
659;230;3
660;160;3
661;250;3
662;70;3
663;40;3
664;180;3
665;90;3
666;40;3
667;110;3
668;210;3
669;240;3
670;100;3
671;60;3
672;70;3
673;240;3
674;250;3
675;150;3
676;90;3
677;190;3
678;110;3
679;220;3
680;240;3
681;50;3
682;140;3
683;190;3
684;100;3
685;210;3
686;190;3
687;250;3
688;40;3
689;210;3
690;60;3
691;250;3
692;90;3
693;160;3
694;80;3
695;220;3
696;200;3
697;60;3
698;60;3
699;160;3
700;220;3
701;170;3
702;90;3
703;180;3
704;220;3
705;250;3
706;100;3
707;230;3
708;180;3
709;100;3
710;120;3
711;130;3
712;170;3
713;140;3
714;250;3
715;220;3
716;150;3
717;250;3
718;130;3
719;40;3
720;160;3
721;230;3
722;250;3
723;190;3
724;60;3
725;210;3
726;100;3
727;80;3
728;180;3
729;140;3
730;120;3
731;80;3
732;80;3
733;140;3
734;130;3
735;90;3
736;140;3
737;230;3
738;160;3
739;110;3
740;150;3
741;250;3
742;90;3
743;150;3
744;170;3
745;230;3
746;180;3
747;80;3
748;140;3
749;150;3
750;210;3
751;200;3
752;170;3
753;40;3
754;80;3
755;140;3
756;110;3
757;120;3
758;60;3
759;220;3
760;190;3
761;70;3
762;50;3
763;240;3
764;40;3
765;190;3
766;100;3
767;140;3
768;230;3
769;180;3
770;180;3
771;240;3
772;230;3
773;90;3
774;220;3
775;160;3
776;40;3
777;240;3
778;140;3
779;250;3
780;110;3
781;220;3
782;140;3
783;80;3
784;180;3
785;70;3
786;150;3
787;160;3
788;170;3
789;90;3
790;80;3
791;80;3
792;100;3
793;230;3
794;230;3
795;150;3
796;100;3
797;220;3
798;210;3
799;60;3
800;90;3
801;240;3
802;80;3
803;190;3
804;40;3
805;130;3
806;190;3
807;250;3
808;60;3
809;170;3
810;150;3
811;140;3
812;220;3
813;40;3
814;150;3
815;220;3
816;150;3
817;100;3
818;230;3
819;50;3
820;40;3
821;40;3
822;200;3
823;100;3
824;50;3
825;120;3
826;150;3
827;190;3
828;120;3
829;40;3
830;140;3
831;150;3
832;230;3
833;70;3
834;40;3
835;100;3
836;170;3
837;180;3
838;200;3
839;40;3
840;60;3
841;140;3
842;40;3
843;220;3
844;60;3
845;230;3
846;160;3
847;160;3
848;160;3
849;190;3
850;70;3
851;160;3
852;70;3
853;40;3
854;140;3
855;80;3
856;220;3
857;80;3
858;230;3
859;100;3
860;190;3
861;100;3
862;210;3
863;220;3
864;190;3
865;170;3
866;220;3
867;120;3
868;160;3
869;120;3
870;160;3
871;180;3
872;140;3
873;180;3
874;110;3
875;60;3
876;240;3
877;240;3
878;190;3
879;110;3
880;160;3
881;130;3
882;220;3
883;230;3
884;180;3
885;110;3
886;50;3
887;230;3
888;150;3
889;220;3
890;240;3
891;170;3
892;40;3
893;220;3
894;50;3
895;160;3
896;60;3
897;170;3
898;200;3
899;140;3
900;200;3
901;60;3
902;250;3
903;220;3
904;150;3
905;60;3
906;40;3
907;190;3
908;120;3
909;170;3
910;240;3
911;210;3
912;40;3
913;250;3
914;40;3
915;130;3
916;170;3
917;140;3
918;120;3
919;100;3
920;150;3
921;180;3
922;50;3
923;120;3
924;90;3
925;240;3
926;120;3
927;190;3
928;50;3
929;180;3
930;60;3
931;130;3
932;140;3
933;60;3
934;150;3
935;170;3
936;170;3
937;60;3
938;230;3
939;140;3
940;250;3
941;220;3
942;90;3
943;200;3
944;170;3
945;110;3
946;90;3
947;190;3
948;60;3
949;200;3
950;190;3
951;130;3
952;70;3
953;160;3
954;130;3
955;80;3
956;60;3
957;160;3
958;50;3
959;140;3
960;190;3
961;70;3
962;200;3
963;200;3
964;210;3
965;190;3
966;120;3
967;40;3
968;190;3
969;250;3
970;220;3
971;170;3
972;150;3
973;40;3
974;50;3
975;150;3
976;80;3
977;60;3
978;160;3
979;200;3
980;60;3
981;180;3
982;210;3
983;140;3
984;120;3
985;60;3
986;200;3
987;70;3
988;150;3
989;60;3
990;200;3
991;230;3
992;80;3
993;90;3
994;120;3
995;110;3
996;150;3
997;120;3
998;80;3
999;50;3
1000;60;3
1001;70;3
1002;140;3
1003;220;3
1004;50;3
1005;80;3
1006;180;3
1007;100;3
1008;160;3
1009;110;3
1010;250;3
1011;60;3
1012;220;3
1013;60;3
1014;160;3
1015;120;3
1016;130;3
1017;170;3
1018;240;3
1019;100;3
1020;80;3
1021;110;3
1022;110;3
1023;160;3
1024;180;3
1025;230;3
1026;250;3
1027;40;3
1028;150;3
1029;100;3
1030;40;3
1031;180;3
1032;170;3
1033;90;3
1034;80;3
1035;150;3
1036;200;3
1037;110;3
1038;140;3
1039;80;3
1040;120;3
1041;250;3
1042;140;3
1043;180;3
1044;80;3
1045;160;3
1046;210;3
1047;180;3
1048;40;3
1049;140;3
1050;250;3
1051;180;3
1052;230;3
1053;50;3
1054;130;3
1055;70;3
1056;210;3
1057;180;3
1058;210;3
1059;240;3
1060;170;3
1061;250;3
1062;150;3
1063;50;3
1064;90;3
1065;90;3
1066;210;3
1067;160;3
1068;150;3
1069;80;3
1070;100;3
1071;50;3
1072;100;3
1073;110;3
1074;240;3
1075;220;3
1076;100;3
1077;210;3
1078;140;3
1079;60;3
1080;50;3
1081;90;3
1082;220;3
1083;80;3
1084;170;3
1085;100;3
1086;100;3
1087;60;3
1088;110;3
1089;230;3
1090;40;3
1091;170;3
1092;70;3
1093;90;3
1094;40;3
1095;170;3
1096;40;3
1097;90;3
1098;120;3
1099;150;3
1100;160;3
1101;220;3
1102;180;3
1103;120;3
1104;80;3
1105;160;3
1106;250;3
1107;180;3
1108;70;3
1109;220;3
1110;170;3
1111;210;3
1112;230;3
1113;50;3
1114;80;3
1115;150;3
1116;250;3
1117;210;3
1118;150;3
1119;250;3
1120;200;3
1121;50;3
1122;160;3
1123;170;3
1124;190;3
1125;130;3
1126;60;3
1127;90;3
1128;160;3
1129;240;3
1130;200;3
1131;210;3
1132;50;3
1133;200;3
1134;150;3
1135;230;3
1136;230;3
1137;100;3
1138;80;3
1139;90;3
1140;150;3
1141;160;3
1142;160;3
1143;130;3
1144;100;3
1145;140;3
1146;120;3
1147;100;3
1148;230;3
1149;90;3
1150;190;3
1151;140;3
1152;60;3
1153;250;3
1154;110;3
1155;50;3
1156;190;3
1157;80;3
1158;110;3
1159;200;3
1160;240;3
1161;180;3
1162;150;3
1163;220;3
1164;120;3
1165;50;3
1166;130;3
1167;140;3
1168;250;3
1169;130;3
1170;250;3
1171;150;3
1172;160;3
1173;70;3
1174;160;3
1175;190;3
1176;50;3
1177;120;3
1178;50;3
1179;40;3
1180;40;3
1181;250;3
1182;120;3
1183;250;3
1184;60;3
1185;220;3
1186;150;3
1187;190;3
1188;160;3
1189;250;3
1190;190;3
1191;190;3
1192;100;3
1193;160;3
1194;140;3
1195;250;3
1196;230;3
1197;50;3
1198;70;3
1199;220;3
1200;90;3
1201;180;3
1202;60;3
1203;220;3
1204;240;3
1205;150;3
1206;170;3
1207;150;3
1208;140;3
1209;40;3
1210;250;3
1211;180;3
1212;80;3
1213;120;3
1214;240;3
1215;40;3
1216;240;3
1217;210;3
1218;100;3
1219;240;3
1220;60;3
1221;50;3
1222;190;3
1223;210;3
1224;180;3
1225;40;3
1226;130;3
1227;120;3
1228;130;3
1229;230;3
1230;100;3
1231;130;3
1232;240;3
1233;70;3
1234;190;3
1235;170;3
1236;250;3
1237;210;3
1238;130;3
1239;240;3
1240;210;3
1241;150;3
1242;40;3
