"city","country"
"ACT","AU"
"Adelaide","AU"
"Adelaide Hills & Barossa","AU"
"Albany & Great Southern","AU"
"Albury Wodonga & Murray","AU"
"Alice Springs & Central Australia","AU"
"Bairnsdale & Gippsland","AU"
"Ballarat & Central Highlands","AU"
"Bendigo, Goldfields & Macedon Ranges","AU"
"Blue Mountains & Central West","AU"
"Brisbane","AU"
"Broome & Kimberley","AU"
"Bunbury & South West","AU"
"Bundaberg & Wide Bay Burnett","AU"
"Cairns & Far North","AU"
"Central & South East","AU"
"Coffs Harbour & North Coast","AU"
"Coober Pedy & Outback SA","AU"
"Darwin","AU"
"Devonport & North West","AU"
"Dubbo & Central NSW","AU"
"Far West & North Central NSW","AU"
"Fleurieu Peninsula & Kangaroo Island","AU"
"Geelong & Great Ocean Road","AU"
"Geraldton, Gascoyne & Midwest","AU"
"Gladstone & Central QLD","AU"
"Gold Coast","AU"
"Gosford & Central Coast","AU"
"Goulburn & Southern Tablelands","AU"
"Hervey Bay & Fraser Coast","AU"
"Hobart","AU"
"Horsham & Grampians","AU"
"Kalgoorlie, Goldfields & Esperance","AU"
"Katherine & Northern Australia","AU"
"Launceston & North East","AU"
"Lismore & Far North Coast","AU"
"Mackay & Coalfields","AU"
"Mandurah & Peel","AU"
"Melbourne","AU"
"Mildura & Murray","AU"
"Mornington Peninsula & Bass Coast","AU"
"Mt Gambier & Limestone Coast","AU"
"Mt Isa & Western QLD","AU"
"Newcastle, Maitland & Hunter","AU"
"Northam & Wheatbelt","AU"
"Perth","AU"
"Port Hedland, Karratha & Pilbara","AU"
"Port Macquarie & Mid North Coast","AU"
"Richmond & Hawkesbury","AU"
"Riverland & Murray Mallee","AU"
"Rockhampton & Capricorn Coast","AU"
"Shepparton & Goulburn Valley","AU"
"Somerset & Lockyer","AU"
"Sunshine Coast","AU"
"Sydney","AU"
"Tamworth & North West NSW","AU"
"Toowoomba & Darling Downs","AU"
"Townsville & Northern QLD","AU"
"Traralgon & La Trobe Valley","AU"
"Tumut, Southern Highlands & Snowy","AU"
"Wagga Wagga & Riverina","AU"
"Whyalla & Eyre Peninsula","AU"
"Wollongong, Illawarra & South Coast","AU"
"Yarra Valley & High Country","AU"
"Yorke Peninsula & Clare Valley","AU"
